id;a_L;b_L;leaf_inc;lim_max
16;98;-90;-54.5;9.8
2;121;-100;-49.5;9.8
11;98;-90;-49.5;9.8
15;98;-90;-40.5;9.8
6;121;-100;-40.6;9.8
7;121;-100;-54.5;9.8
20;148;-120;-49.5;9.8
24;148;-120;-40.5;9.8
25;148;-120;-54.5;9.8
4;121;-100;-40.5;11.3
14;98;-90;-54.5;11.3
10;98;-90;-49.5;11.3
1;121;-100;-49.4;11.3
5;121;-100;-54.6;11.3
13;98;-90;-40.5;11.3
19;148;-120;-49.5;11.3
22;148;-120;-40.5;11.3
23;148;-120;-54.5;11.3
3;121;-100;-49.6;12.36
8;121;-100;-40.6;12.36
9;121;-100;-54.6;12.36
12;98;-90;-49.6;12.36
17;98;-90;-40.5;12.36
21;148;-120;-49.5;12.36
26;148;-120;-40.5;12.36
27;148;-120;-54.5;12.36
18;98;-90;-54.5;12.36
